Title,Price,Link
Разработка модуля ЭЦП для интеграции в CRM-систему,60 000 руб. за проект,https://freelance.habr.com//tasks/555677
Разработка MVP игры на Unity,50 000 руб. за проект,https://freelance.habr.com//tasks/555637
Desctop приложение под Windows (.NET C#),договорная,https://freelance.habr.com//tasks/555581
Поставить на сервер и сделать вебсокет (с++),15 000 руб. за проект,https://freelance.habr.com//tasks/555563
Доработка темы Плагина  Wordpress,договорная,https://freelance.habr.com//tasks/555429
"Создание статей и постов по тематике ит, Java, go , c#, ML, linux",500 руб. за проект,https://freelance.habr.com//tasks/555407
Автоматическая регистрация на бирже mexc + outlook,120 000 руб. за проект,https://freelance.habr.com//tasks/555363
Разработать middleware между кассовым принтером и POS системой,20 000 руб. за проект,https://freelance.habr.com//tasks/555275
Подбор ПК-комплектующих с помощью ИИ,договорная,https://freelance.habr.com//tasks/555261
Выполнить несколько задач для проекта(c#+mvc5+ javascript+jquery+css3),1 300 руб. за час,https://freelance.habr.com//tasks/555225
Разработать прототип мобильной игры для Unity,договорная,https://freelance.habr.com//tasks/555135
Реализовать telegrambot c gpt на c# .net,5 000 руб. за проект,https://freelance.habr.com//tasks/554911
"Разработать небольшую CRM под Windows на С++, asp.net",20 000 руб. за проект,https://freelance.habr.com//tasks/554879
Разработать плагин iikoFront,20 000 руб. за проект,https://freelance.habr.com//tasks/554835
Управление телевизором через HDMI CEC или микроконтроллер,100 000 руб. за проект,https://freelance.habr.com//tasks/554663
Нужен парсер картографического сервиса,100 000 руб. за проект,https://freelance.habr.com//tasks/554583
Нужен парсер картографического сервиса,50 000 руб. за проект,https://freelance.habr.com//tasks/554579
Доработать систему поиска на Python за счет определения значений c ИИ,договорная,https://freelance.habr.com//tasks/554253
Разработать дизайн интернет-магазина,договорная,https://freelance.habr.com//tasks/554195
Сверстать внешнюю оболочку под биллинг систему,200 000 руб. за проект,https://freelance.habr.com//tasks/554167
Разработка парсера для маркетплейса,договорная,https://freelance.habr.com//tasks/554143
Написать расширение для отправки картинок и gif на форуме-Tampermonkey,договорная,https://freelance.habr.com//tasks/553983
Приложение для андроид,договорная,https://freelance.habr.com//tasks/553971
Подключить MapTiler вместо Mapbox в iOS и Android,10 000 руб. за проект,https://freelance.habr.com//tasks/553899
Доработка игры на Unity3d (Android/iOS),договорная,https://freelance.habr.com//tasks/553881
Разработка модуля ЭЦП для интеграции в CRM-систему,60 000 руб. за проект,https://freelance.habr.com//tasks/555677
Разработка MVP игры на Unity,50 000 руб. за проект,https://freelance.habr.com//tasks/555637
Desctop приложение под Windows (.NET C#),договорная,https://freelance.habr.com//tasks/555581
Поставить на сервер и сделать вебсокет (с++),15 000 руб. за проект,https://freelance.habr.com//tasks/555563
Доработка темы Плагина  Wordpress,договорная,https://freelance.habr.com//tasks/555429
"Создание статей и постов по тематике ит, Java, go , c#, ML, linux",500 руб. за проект,https://freelance.habr.com//tasks/555407
Автоматическая регистрация на бирже mexc + outlook,120 000 руб. за проект,https://freelance.habr.com//tasks/555363
Разработать middleware между кассовым принтером и POS системой,20 000 руб. за проект,https://freelance.habr.com//tasks/555275
Подбор ПК-комплектующих с помощью ИИ,договорная,https://freelance.habr.com//tasks/555261
Выполнить несколько задач для проекта(c#+mvc5+ javascript+jquery+css3),1 300 руб. за час,https://freelance.habr.com//tasks/555225
Разработать прототип мобильной игры для Unity,договорная,https://freelance.habr.com//tasks/555135
Реализовать telegrambot c gpt на c# .net,5 000 руб. за проект,https://freelance.habr.com//tasks/554911
"Разработать небольшую CRM под Windows на С++, asp.net",20 000 руб. за проект,https://freelance.habr.com//tasks/554879
Разработать плагин iikoFront,20 000 руб. за проект,https://freelance.habr.com//tasks/554835
Управление телевизором через HDMI CEC или микроконтроллер,100 000 руб. за проект,https://freelance.habr.com//tasks/554663
Нужен парсер картографического сервиса,100 000 руб. за проект,https://freelance.habr.com//tasks/554583
Нужен парсер картографического сервиса,50 000 руб. за проект,https://freelance.habr.com//tasks/554579
Доработать систему поиска на Python за счет определения значений c ИИ,договорная,https://freelance.habr.com//tasks/554253
Разработать дизайн интернет-магазина,договорная,https://freelance.habr.com//tasks/554195
Сверстать внешнюю оболочку под биллинг систему,200 000 руб. за проект,https://freelance.habr.com//tasks/554167
Разработка парсера для маркетплейса,договорная,https://freelance.habr.com//tasks/554143
Написать расширение для отправки картинок и gif на форуме-Tampermonkey,договорная,https://freelance.habr.com//tasks/553983
Приложение для андроид,договорная,https://freelance.habr.com//tasks/553971
Подключить MapTiler вместо Mapbox в iOS и Android,10 000 руб. за проект,https://freelance.habr.com//tasks/553899
Доработка игры на Unity3d (Android/iOS),договорная,https://freelance.habr.com//tasks/553881
Разработать модель подключения Power Query,2 000 руб. за проект,https://freelance.habr.com//tasks/553801
Перенос сайта (обновление),1 000 руб. за час,https://freelance.habr.com//tasks/553757
Написать плагин/скрипт для OBS Studio,договорная,https://freelance.habr.com//tasks/553627
Сделать мобильное приложение со списком предложений по акциям,35 000 руб. за проект,https://freelance.habr.com//tasks/553505
Сделать коннектор для биржи DyDX (C#),2 000 руб. за час,https://freelance.habr.com//tasks/553491
Разработать редактор карты (для игры),договорная,https://freelance.habr.com//tasks/553457
Консультация по плагину iikoFront. Динамические скидки,5 000 руб. за час,https://freelance.habr.com//tasks/553395
Поправить пайплайн обработки данных,договорная,https://freelance.habr.com//tasks/553291
Извлечение информации о таблицах из изображения на C++ с OpenCV,3 000 руб. за проект,https://freelance.habr.com//tasks/553265
Перевод сервиса написанного на java на c# и добавление МЧД,200 000 руб. за проект,https://freelance.habr.com//tasks/553257
Разработка бота ТГ,договорная,https://freelance.habr.com//tasks/553219
Написание статей по тематике программирования Python/java/go/С#,500 руб. за проект,https://freelance.habr.com//tasks/552921
Создать блок для извлечения данных по API,договорная,https://freelance.habr.com//tasks/552903
Простейший установщик для Windows 10/11,договорная,https://freelance.habr.com//tasks/552895
Разработать интерфейс на камеры видеонаблюдения ,договорная,https://freelance.habr.com//tasks/552811
Разработать сайт с регистрацией для Mmorpg игры,10 000 руб. за проект,https://freelance.habr.com//tasks/552579
Сделать установщик для Windows Store (наверно нужен опыт на C#),1 000 руб. за проект,https://freelance.habr.com//tasks/552505
Реализация матчей в реальном времени на клиенте в игре (Unity),1 200 руб. за час,https://freelance.habr.com//tasks/552381
Помочь развернуть ELK для мониторинга проекта на Django c PostgreSQL,договорная,https://freelance.habr.com//tasks/552323
 Разработка Программного Обеспечения для YouTube и Twitch,договорная,https://freelance.habr.com//tasks/552287
Переписать библиотеку с Obj C на Swift,договорная,https://freelance.habr.com//tasks/552215
Разработать простые приложения на андроид на Unity / C#,17 000 руб. за проект,https://freelance.habr.com//tasks/552127
Создание ИС,договорная,https://freelance.habr.com//tasks/551939
Создать клон простой игры на Андройд. Без публикации. Только код,договорная,https://freelance.habr.com//tasks/551831
Разработка для OpenWrt,договорная,https://freelance.habr.com//tasks/551801
Обработка загрузка заказов в 1С УТ из XML файла,договорная,https://freelance.habr.com//tasks/551651
Доработка проекта на C# .Net Core (React),договорная,https://freelance.habr.com//tasks/551527
Доделать функционал программы на C++/Qt для windows,договорная,https://freelance.habr.com//tasks/551515
Миграция C++ кода для ARM7TDMI в новую среду разработки ,30 000 руб. за проект,https://freelance.habr.com//tasks/551265
Добавить функционал в телеграм бот docker+fastapi+aiogram,договорная,https://freelance.habr.com//tasks/551225
Cоздание интернет-магазина с 0 на Битрикс,45 000 руб. за проект,https://freelance.habr.com//tasks/551215
Исправление технической проблемы сервера C#,30 000 руб. за проект,https://freelance.habr.com//tasks/551175
Настройка Wireguard серверов с привязкой друг к другу,5 000 руб. за проект,https://freelance.habr.com//tasks/551147
Моделирование кривой по трем типам ,2 500 руб. за проект,https://freelance.habr.com//tasks/551071
Записать видеокурс по теме C++ Programming: Basic Skills,20 000 руб. за проект,https://freelance.habr.com//tasks/551043
"Разработка мобильной игры , проект в портфолио",договорная,https://freelance.habr.com//tasks/550955
Автоматизация excel отчетов,договорная,https://freelance.habr.com//tasks/550931
ПО - генератор ,20 000 руб. за проект,https://freelance.habr.com//tasks/550885
Интегрировать Zoho Inventory c программой бухгалтерского учета по API,1 700 руб. за час,https://freelance.habr.com//tasks/550491
Написать программу на C++ для получения оглавления архива ,700 руб. за проект,https://freelance.habr.com//tasks/550431
SEO-продвижение услуг ИТ-компании,договорная,https://freelance.habr.com//tasks/550057
Реализация игры в стиле Roguelike,5 000 руб. за проект,https://freelance.habr.com//tasks/549675
Разработать консольное приложение для виндоус,договорная,https://freelance.habr.com//tasks/307006
